id,site_code,X,Y,lon,lat,Aclay_base_altitude,gse,depth_to_base_Aclay,thickness_Aclay
3105,352236N1192724W001,839303.6413,3904210.687,-119.272387,35.223595,264,298.2,34.2,13.8
3989,352296N1193432W001,832831.5926,3904636.572,-119.343187,35.229595,257,294.3,37.3,12.67
3990,352296N1193432W003,832831.5926,3904636.572,-119.343187,35.229595,257,294.3,37.3,12.67
3991,352274N1193482W001,832385.2892,3904375.651,-119.348187,35.227395,256,299,43,12.45
3992,352249N1193536W002,831903.76,3904080.121,-119.353588,35.224895,256,303.2,47.2,12.34
3994,351953N1193551W001,831887.8163,3900790.218,-119.355087,35.195295,258,293.8,35.8,14.04
3995,351953N1193551W002,831887.8163,3900790.218,-119.355087,35.195295,258,293.8,35.8,14.04
3996,351953N1193550W002,831896.9259,3900790.552,-119.354987,35.195295,258,293.9,35.9,14.04
3998,351522N1193070W001,836447.4463,3896169.037,-119.306988,35.152195,260,292.7,32.7,15.67
6286,352296N1193432W002,832831.5926,3904636.572,-119.343187,35.229595,257,294.3,37.3,12.67
6287,352296N1193432W004,832831.5926,3904636.572,-119.343187,35.229595,257,294.3,37.3,12.67
6288,352249N1193536W001,831903.76,3904080.121,-119.353588,35.224895,256,303.2,47.2,12.34
6289,351953N1193550W001,831896.9259,3900790.552,-119.354987,35.195295,258,293.9,35.9,14.04
6290,352024N1193567W001,831713.1426,3901572.794,-119.356688,35.202395,257,298.9,41.9,13.65
6615,352294N1192909W001,837594.8269,3904791.212,-119.290887,35.229395,265,300.6,35.6,14.2
7043,352294N1192865W001,837995.4933,3904806.204,-119.286488,35.229395,266,297.5,31.5,14.15
7044,352086N1192783W001,838828.7867,3902525.827,-119.278288,35.208595,260,296,36,15.11
3106,352308N1192535W001,840994.6439,3905074.587,-119.253488,35.230795,269,298,29,11.45
3109,352019N1192356W001,842746.3227,3901928.96,-119.235587,35.201895,261,291.9,30.9,13.04
3110,351919N1192363W001,842724.6384,3900816.735,-119.236288,35.191895,260,288.3,28.3,13.42
3349,351952N1192291W001,843366.6795,3901207.865,-119.229088,35.195195,260,291.9,31.9,13.16
3350,352022N1192037W001,845650.9434,3902072.941,-119.203688,35.202195,264,295.6,31.6,12.85
3351,352039N1192220W001,843976.7453,3902197.997,-119.221988,35.203895,262,295.5,33.5,12.76
3352,352053N1191992W001,846047.6907,3902432.676,-119.199188,35.205295,266,296.7,30.7,12.81
3354,352231N1192098W001,845006.6642,3904371.226,-119.209788,35.223095,269,302.5,33.5,12.15
3359,351561N1192407W001,842474.1665,3896828.454,-119.240688,35.156095,260,292.2,32.2,14.51
3360,351750N1192368W001,842750.1699,3898939.438,-119.236788,35.174995,260,288.3,28.3,13.82
3372,351447N1192162W001,844755.392,3895648.033,-119.216188,35.144695,259,310.7,51.7,14.4
3373,351517N1192170W001,844652.8929,3896422.124,-119.216988,35.151695,259,301.3,42.3,14.23
3375,351800N1191960W001,846446.7799,3899635.991,-119.195988,35.179995,260,297.3,37.3,13.44
