OBJECTID__,id,site_code,X,Y,lon,lat,Cclay_base_altitude,thickness_Cclay,gse
557,5321,360317N1196443W001,802375.0019,3992676.047,-119.644287,36.031695,-138.3618,86.84682,187.9293695
420,3862,360200N1196110W001,805421.8856,3991481.682,-119.610987,36.019995,-136.8039,72.91702,189.7703473
203,2331,360258N1196171W001,804849.5716,3992106.203,-119.617087,36.025795,-136.1508,75.07336,190.3125389
558,5323,360419N1196460W001,802182.7377,3993802.7,-119.645987,36.041895,-135.6802,88.68787,188.9569614
710,6188,359900N1195710W001,809145.3331,3988278.714,-119.570987,35.989995,-132.7918,48.568,193.2978736
421,3865,359600N1195710W001,809262.5196,3984949.429,-119.570987,35.959995,-131.7741,51.07592,193.217165
650,5721,360650N1196971W001,797490.1775,3996208.572,-119.697087,36.064995,-130.6193,96.78808,185.1475125
202,2328,360400N1196174W001,804767.7359,3993681.111,-119.617387,36.039995,-129.5781,75.74937,190.1916728
324,3211,360642N1196529W001,801475.6756,3996256.002,-119.652887,36.064195,-129.1732,93.45337,187.5098485
320,3207,360792N1196785W001,799112.1904,3997841.494,-119.678487,36.079195,-127.3035,102.3809,186.8207737
560,5328,360289N1195993W001,806442.1688,3992506.163,-119.599287,36.028895,-126.4791,53.59851,191.3651964
316,3203,360939N1197157W001,795705.9422,3999358.897,-119.715687,36.093895,-124.1713,96.5276,184.4080768
562,5339,360033N1195721W001,808994.1618,3989751.207,-119.572087,36.003295,-121.8398,39.79229,193.2477752
818,6960,360900N1196600W001,800737.5543,3999097.136,-119.659987,36.089995,-121.5372,98.06418,189.013031
321,3208,360908N1196593W001,800797.5522,3999188.083,-119.659287,36.090795,-120.9836,96.64788,189.2078801
649,5719,360994N1196691W001,799882.1304,4000112.153,-119.669087,36.099395,-120.0429,101.7778,189.3471845
317,3204,361083N1196807W001,798803.6679,4001064.058,-119.680687,36.108295,-119.9935,106.2028,189.7788447
313,3200,361228N1196974W001,797245.0947,4002621.902,-119.697387,36.122795,-116.8715,104.9063,191.8670009
820,6962,360400N1195900W001,807237.3292,3993767.341,-119.589987,36.039995,-116.0166,30.30664,192.6433461
314,3201,361231N1196799W001,798819.5487,4002708.936,-119.679887,36.123095,-115.9687,92.0896,194.5503015
204,2332,360214N1195818W001,808048.9322,3991729.121,-119.581787,36.021395,-114.6936,31.05554,193.0711676
80,1714,361586N1198402W001,784259.2285,4006166.705,-119.840187,36.158595,-113.7585,27.89046,194.3457083
707,6180,361153N1197707W001,790673.3855,4001567.615,-119.770687,36.115295,-112.2879,85.50455,182.9199534
819,6961,360700N1196100W001,805318.6314,3997033.602,-119.609987,36.069995,-112.0793,32.24979,192.6572896
82,1716,361531N1198188W001,786205.006,4005619.311,-119.818787,36.153095,-111.9857,37.51574,193.1742188
706,6179,360800N1197810W001,789875.7737,3997619.568,-119.780987,36.079995,-111.1104,76.50417,182.9219547
83,1717,361606N1198152W001,786501.6672,4006462.215,-119.815187,36.160595,-107.6652,27.86528,196.3212661
309,3196,360792N1197893W001,789131.0404,3997506.06,-119.789287,36.079195,-106.7738,74.13143,182.8877027
618,5556,361544N1198577W001,782699.5266,4005649.485,-119.857687,36.154395,-106.3844,31.02434,197.1556822
84,1718,361617N1198124W001,786749.6197,4006592.558,-119.812387,36.161695,-106.233,27.19144,196.4517123
312,3199,361292N1197071W001,796347.6782,4003302.465,-119.707087,36.129195,-105.1532,94.44279,191.1944615
180,2284,361739N1198260W001,785481.5085,4007906.259,-119.825987,36.173895,-103.9826,21.49473,199.6880969
621,5562,361497N1198624W001,782293.4256,4005114.244,-119.862387,36.149695,-102.864,35.2082,196.5434118
698,6167,361700N1198510W001,783246.2822,4007400.149,-119.850987,36.169995,-101.8669,24.89977,202.8641797
760,6542,360333N1195729W001,808804.7788,3993077.965,-119.572887,36.033295,-100.6011,23.17409,194.0728409
22,1372,366611N1202888W001,742325.6337,4060702.373,-120.288787,36.661095,-100.448,12.85433,162.2635879
494,4220,366542N1202751W001,743572.1493,4059971.444,-120.275087,36.654195,-100.2839,12.69646,163.2513176
39,1595,366469N1202577W002,745150.989,4059205.754,-120.257687,36.646895,-100.1395,12.5004,164.8817966
38,1594,366417N1202591W001,745042.2947,4058625.166,-120.259087,36.641695,-99.99702,12.52034,165.2198216
175,2279,361669N1198613W001,782330.6705,4007026.104,-119.861287,36.166895,-99.13332,26.70138,208.0766143
538,5149,361525N1197882W001,788961.0868,4005643.461,-119.788187,36.152495,-97.89556,44.82337,191.8797962
311,3198,361283N1197346W001,793875.3332,4003118.957,-119.734587,36.128295,-97.3953,88.94025,187.8786149
418,3858,360800N1198110W001,787173.3748,3997530.478,-119.810987,36.079995,-95.8015,67.88968,182.7559114
181,2285,361897N1198118W001,786701.4498,4009701.502,-119.811787,36.189695,-94.82666,21.47235,203.1728083
238,2663,366456N1202977W001,741578.451,4058959.994,-120.297687,36.645595,-94.51691,13.00095,164.5636536
206,2337,360075N1195449W001,811430.3636,3990304.02,-119.544887,36.007495,-94.4952,32.82656,195.8137858
814,6942,361600N1197800W001,789671.4381,4006500.206,-119.779987,36.159995,-94.42194,41.40433,198.0823882
174,2278,361803N1198513W001,783182.1763,4008542.254,-119.851287,36.180295,-93.7744,24.80303,204.4674934
176,2280,361600N1198702W001,781554.5677,4006234.545,-119.870187,36.159995,-93.44707,28.84992,208.0413452
285,2929,361375N1198702W001,781635.1014,4003737.763,-119.870187,36.137495,-93.11271,52.03301,195.2209708
286,2930,361378N1198710W001,781562.0185,4003768.732,-119.870987,36.137795,-92.9763,51.52079,195.8336349
413,3850,361673N1198694W001,781600.412,4007046.937,-119.869387,36.167295,-92.03715,27.83829,206.7737927
811,6939,361600N1197700W001,790571.3263,4006530.125,-119.769987,36.159995,-91.79079,44.98817,200.8167387
704,6176,361900N1197910W001,788571.3912,4009796.534,-119.790987,36.189995,-91.23763,20.86653,205.3672966
700,6169,362000N1198210W001,785836.3873,4010817.316,-119.820987,36.199995,-90.72655,21.59926,202.9400655
33,1563,366875N1203493W001,736836.0711,4063480.538,-120.349287,36.687495,-90.67674,15.44222,165.2295657
