id,site_code,X,Y,lon,lat,Depth_2top_Eclay,Thickness_Eclay
726,372591N1203343W001,736400.4143,4126946.019,-120.334287,37.259095,50,Nan
4554,371935N1202799W001,741434.9093,4119803.706,-120.279887,37.193495,50,10
4553,372063N1202982W001,739769.7627,4121177.625,-120.298187,37.206295,50,10
713,372677N1203527W001,734741.6368,4127854.516,-120.352687,37.267695,50,22.4791
710,372635N1203524W001,734781.2936,4127389.186,-120.352387,37.263495,50,28.273
711,372668N1203613W001,733981.7026,4127733.322,-120.361287,37.266795,50,34.6711
712,372738N1203793W001,732363.7631,4128465.71,-120.379287,37.273795,50,40.4156
692,372738N1203974W001,730758.6413,4128421.369,-120.397387,37.273795,50,72.3444
4691,372699N1203974W001,730770.5548,4127988.59,-120.397387,37.269895,50,73.3733
693,372757N1203996W001,730557.7446,4128626.842,-120.399587,37.275695,50,74.4121
4692,372627N1203977W001,730765.9379,4127188.88,-120.397687,37.262695,50,76.2858
709,372596N1203974W001,730802.0133,4126845.609,-120.397387,37.259595,50,77.393
721,372566N1203979W001,730766.8242,4126511.482,-120.397887,37.256595,50,79.8579
707,372613N1204068W001,729963.0868,4127011.352,-120.406787,37.261295,50,89.7996
6377,372730N1204118W001,729484.073,4128297.537,-120.411787,37.272995,50,90.6677
691,372710N1204157W001,729144.2827,4128066.139,-120.415687,37.270995,50,96.4038
4689,372630N1204157W001,729168.5457,4127178.39,-120.415687,37.262995,50,100.736
690,372802N1204246W001,728327.1883,4129065.512,-120.424587,37.280195,50,102.231
4690,372585N1204157W001,729182.1916,4126679.031,-120.415687,37.258495,50,103.621
708,372630N1204260W001,728255.0093,4127153.474,-120.425987,37.262995,50,113.256
689,372838N1204360W001,727305.4862,4129437.519,-120.435987,37.283795,50,113.349
4530,372743N1204338W001,727529.1741,4128388.613,-120.433787,37.274295,50,115.895
686,372730N1204399W001,726992.137,4128229.689,-120.439887,37.272995,50,124.091
6667,372904N1204529W001,725787.2604,4130129.393,-120.452887,37.290395,50,125.05
6668,372904N1204529W002,725787.2604,4130129.393,-120.452887,37.290395,50,125.05
6669,372904N1204529W003,725787.2604,4130129.393,-120.452887,37.290395,50,125.05
6376,372849N1204493W001,726122.908,4129527.677,-120.449287,37.284895,50,128.726
685,372880N1204521W001,725865.3683,4129864.982,-120.452087,37.287995,50,129.358
687,372721N1204518W001,725939.5292,4128101.308,-120.451787,37.272095,50,139.43
688,372721N1204529W001,725841.9795,4128098.68,-120.452887,37.272095,50,140.656
4533,372616N1204346W001,727496.4668,4126977.392,-120.434587,37.261595,50.5508,123.808
7104,371334N1210349W001,674551.4707,4111477.893,-121.034887,37.133395,51.6329,194.82
725,372566N1203796W001,732390.0521,4126556.299,-120.379587,37.256595,51.6874,53.3772
4741,371707N1202657W001,742768.5761,4117309.868,-120.265687,37.170695,52.0349,10.0235
4536,372507N1204032W001,730314.6853,4125843.845,-120.403187,37.250695,52.3548,91.4869
706,372577N1204346W001,727508.2063,4126544.616,-120.434587,37.257695,54.3175,125.715
4545,372327N1203163W001,738080.1141,4124061.549,-120.316287,37.232695,55.1034,10
4750,371418N1202110W001,747720.5664,4114244.351,-120.210987,37.141795,55.373,10.8282
4527,372877N1204685W001,724412.1913,4129792.619,-120.468487,37.287695,56.0551,142.436
704,372630N1204582W001,725399.1123,4127076.225,-120.458187,37.262995,56.1542,146.511
4528,372802N1204702W001,724283.739,4128956.326,-120.470187,37.280195,56.3387,150
4904,371416N1210329W001,674710.2743,4112391.395,-121.032887,37.141595,56.6545,179.195
751,372046N1202710W001,742189.5295,4121058.215,-120.270987,37.204595,56.789,Nan
4529,372727N1204691W001,724403.5584,4128126.68,-120.469087,37.272695,56.9443,150
961,371560N1202338W001,745649.0568,4115760.809,-120.233787,37.155995,57.4692,10.663
4751,371357N1202035W001,748406.8254,4113587.048,-120.203487,37.135695,58.7717,10.8991
755,371821N1202927W001,740334.7199,4118506.084,-120.292687,37.182095,59.0429,10
981,371277N1202024W001,748530.7445,4112702.155,-120.202387,37.127695,59.549,11.0491
4735,371707N1202793W001,741560.8397,4117275.105,-120.279287,37.170695,59.6058,10
703,372582N1204513W001,726025.4433,4126560.052,-120.451287,37.258195,59.6116,141.085
4757,371274N1202029W001,748487.2983,4112667.553,-120.202887,37.127395,60.023,11.0583
982,371268N1202024W001,748533.6903,4112602.28,-120.202387,37.126795,60.1987,11.0668
967,371557N1202557W001,743704.8198,4115670.976,-120.255687,37.155695,60.476,10.1747
724,372496N1203632W001,733866.4089,4125819.942,-120.363187,37.249595,61.5239,34.4407
741,372435N1203349W001,736395.9722,4125213.382,-120.334887,37.243495,61.7984,14.5793
4748,371491N1202474W001,744463.3106,4114959.943,-120.247387,37.149095,61.9695,10.328
968,371418N1202338W001,745695.0356,4114185.016,-120.233787,37.141795,63.4047,10.5959
4532,372577N1204641W001,724891.599,4126474.05,-120.464087,37.257695,63.5447,147.46
4583,371466N1210316W001,674814.234,4112948.56,-121.031587,37.146595,64.4665,172.652
763,371674N1202838W001,741171.7185,4116897.439,-120.283787,37.167395,64.5315,10
723,372427N1204029W001,730365.6696,4124956.827,-120.402887,37.242695,64.6193,91.7135
722,372432N1203977W001,730825.4723,4125024.988,-120.397687,37.243195,64.6638,83.0841
720,372421N1204149W001,729302.8856,4124861.089,-120.414887,37.242095,64.9287,107.884
662,373166N1205041W001,721171.0879,4132915.621,-120.504087,37.316595,65.3136,83.3728
4535,372460N1204343W001,727570.0324,4125247.013,-120.434287,37.245995,65.6197,126.451
705,372585N1204704W001,724330.4259,4126547.859,-120.470387,37.258495,66.6731,149.891
684,372805N1204835W001,723103.5207,4128958.138,-120.483487,37.280495,66.8197,150
774,371530N1202788W001,741661.636,4115312.204,-120.278787,37.152995,66.9169,10
6670,372617N1204747W001,723939.5463,4126892.762,-120.474687,37.261695,67.3193,150
4541,372402N1204141W001,729379.6222,4124652.189,-120.414087,37.240195,67.5908,105.741
719,372438N1204332W001,727674.2399,4125005.531,-120.433187,37.243795,67.9399,124.42
739,372418N1203796W001,732435.5482,4124913.955,-120.379587,37.241795,68.4461,49.8075
749,372121N1203213W001,737701.1593,4121762.992,-120.321287,37.212095,68.5122,10
675,372877N1204871W001,722763.0641,4129748.61,-120.487087,37.287695,69.0943,145.178
960,371474N1202741W001,742096.981,4114702.765,-120.274087,37.147395,69.0991,10
737,372410N1203804W001,732367.0314,4124823.214,-120.380387,37.240995,69.3451,50.6681
4749,371382N1202521W001,744080.8652,4113738.25,-120.252087,37.138195,69.4132,10.172
6663,372964N1204867W001,722772.8546,4130714.969,-120.486687,37.296395,70.492,133.315
6664,372964N1204867W002,722772.8546,4130714.969,-120.486687,37.296395,70.492,133.315
6665,372964N1204867W003,722772.8546,4130714.969,-120.486687,37.296395,70.492,133.315
6666,372964N1204867W004,722772.8546,4130714.969,-120.486687,37.296395,70.492,133.315
4531,372618N1204793W001,723531.2612,4126892.974,-120.479287,37.261795,70.5444,150
746,372299N1203341W001,736509.4684,4123706.188,-120.334087,37.229895,72.2022,10
978,371296N1202477W001,744499.4697,4112795.238,-120.247687,37.129595,74.1332,10.2291
754,371905N1203166W001,738186.2301,4119377.853,-120.316587,37.190495,74.3696,10
966,371396N1202732W001,742201.8217,4113839.496,-120.273187,37.139595,74.6466,10
734,372352N1204054W001,730166.6996,4124118.478,-120.405387,37.235195,74.757,90.8362
4543,372360N1203916W001,731388.6705,4124240.916,-120.391587,37.235995,74.8637,67.957
738,372360N1203913W001,731415.288,4124241.65,-120.391287,37.235995,74.943,67.3972
996,371124N1202027W001,748554.153,4111003.502,-120.202687,37.112395,75.7009,11.1488
