Field1,site_code,X,Y,lon,lat,AmnicolaClaystone-Depth2top,AmnicolaClaystone-thickness
18936,355289N1195374W001,813985.0935,3937215.443,-119.537387,35.528895,1260.296,6.092446
21920,356911N1197178W001,797019.6387,3954653.813,-119.717787,35.691095,1377.674,57.70458
22028,356508N1196970W001,799053.0773,3950245.005,-119.696987,35.650795,1301.512,84.70034
22032,356677N1196725W001,801208.5318,3952195.296,-119.672487,35.667695,1588.326,103.0635
22036,356764N1196914W001,799464.5311,3953102.863,-119.691387,35.676395,1437.128,93.25033
22084,356383N1196802W001,800621.5782,3948909.216,-119.680187,35.638295,1392.773,61.58499
22088,356850N1196650W001,801822.4395,3954138.112,-119.664987,35.684995,1425.244,51.89361
22124,355944N1196952W001,799426.5998,3943991.929,-119.695187,35.594395,673.363,30.75897
22128,357006N1195802W001,809439.4725,3956133.581,-119.580187,35.700595,822.1823,49.18648
22152,356239N1196206W001,806075.5597,3947495.367,-119.620587,35.623895,1732.871,55.20114
22156,356308N1195900W001,808821.4979,3948356.862,-119.589988,35.630795,1788.169,62.83893
22164,356231N1195938W001,808506.8523,3947490.44,-119.593788,35.623095,1795.806,67.64878
22168,356375N1195718W001,810444.432,3949157.765,-119.571787,35.637495,1781.985,62.74871
22176,356194N1195671W001,810940.3982,3947164.04,-119.567087,35.619395,1797.599,74.58739
23216,357214N1197927W001,790129.395,3957791.792,-119.792687,35.721395,875.4709,117.9156
23220,357039N1197796W001,791378.5827,3955888.757,-119.779587,35.703895,862.1924,135.8169
23224,357175N1197611W001,793003.1594,3957453.038,-119.761087,35.717495,1384.392,188.8748
23228,357322N1197603W001,793021.642,3959086.636,-119.760287,35.732195,1439.252,141.677
23232,357333N1197253W001,796184.2986,3959313.949,-119.725287,35.733295,1622.172,74.29747
23244,357414N1196931W001,799067.3515,3960310.629,-119.693087,35.741395,1434.49,55.19642
23252,357161N1197097W001,797659.8195,3957452.574,-119.709687,35.716095,1578.737,55.12346
23256,357467N1196713W001,801019.6025,3960965.555,-119.671287,35.746695,1337.835,56.17089
23260,357422N1196538W001,802619.7791,3960520.123,-119.653787,35.742195,1307.889,53.4768
23264,357517N1196563W001,802357.6225,3961566.619,-119.656287,35.751695,1319.12,54.65651
23272,357044N1196953W001,799006.7434,3956198.075,-119.695287,35.704395,1464.063,51.14047
23276,357241N1196547W001,802606.924,3958508.781,-119.654687,35.724095,1311.172,48.49578
23516,355681N1196093W001,807312.9403,3941338.502,-119.609287,35.568095,1711.524,138.2886
23520,355586N1196113W001,807167.9099,3940278.042,-119.611288,35.558595,1618.312,154.1367
23552,355377N1196197W001,806485.8531,3937932.588,-119.619687,35.537695,1417.77,186.7453
23556,355589N1196004W001,808155.1612,3940345.423,-119.600387,35.558895,1658.169,139.3226
23560,355694N1195782W001,810127.7176,3941580.39,-119.578187,35.569395,1730.346,111.4032
23584,354775N1196360W001,805235.4802,3931201.669,-119.635987,35.477495,1570.078,95.03543
23652,355289N1195549W001,812397.5903,3937159.764,-119.554888,35.528895,1238.302,36.75631
23684,354708N1195925W001,809209.6861,3930593.753,-119.592488,35.470795,2284.413,161.1468
23688,354919N1195689W001,811270.5862,3933009.509,-119.568888,35.491895,1962.029,114.1026
23776,354414N1195825W001,810230.4918,3927362.66,-119.582487,35.441395,2798.255,207.0545
23800,354281N1195129W001,816603.2402,3926107.842,-119.512888,35.428095,2786.896,144.1894
23852,354061N1195188W001,816153.4176,3923647.554,-119.518788,35.406095,2733.345,104.2075
23856,354158N1194910W001,818640.9238,3924813.365,-119.490988,35.415795,2565.083,117.3016
23860,354089N1194639W001,821130.2257,3924135.471,-119.463887,35.408895,2231.975,101.7864
23864,354244N1194384W001,823384.9323,3925938.83,-119.438388,35.424395,1649.743,88.56908
23868,354280N1194207W001,824978.2479,3926396.492,-119.420687,35.427995,1632.041,73.44994
23880,354017N1194521W001,822230.9906,3923374.907,-119.452088,35.401695,2181.321,94.92503
23884,354350N1194070W001,826194.3768,3927218.534,-119.406987,35.434995,1598.251,60.37601
23888,354319N1194117W001,825780.0072,3926858.978,-119.411687,35.431895,1611.738,64.92369
23892,354208N1194038W001,826542.429,3925653.258,-119.403788,35.420795,1669.224,57.97574
23904,353825N1194872W001,819117.5389,3921130.252,-119.487188,35.382495,2556.408,75.47285
23908,354131N1193942W001,827445.7123,3924830.547,-119.394188,35.413095,1644.293,49.15616
23928,354344N1193584W001,830610.9681,3927313.738,-119.358388,35.434395,1450.019,25.83155
23960,354131N1193590W001,830643.658,3924947.896,-119.358987,35.413095,1480.624,25.82788
24048,354128N1193409W001,832289.306,3924975.39,-119.340887,35.412795,1374.708,27.67198
24120,353225N1193330W001,833378.7959,3914980.665,-119.332988,35.322495,981.3911,40.54214
24124,353361N1193323W001,833386.5164,3916492.325,-119.332288,35.336095,1122.862,22.25571
24128,353277N1193257W001,834021.3352,3915582.38,-119.325688,35.327695,1022.816,37.6239
24132,353222N1193263W001,833989.4266,3914969.973,-119.326288,35.322195,975.5767,39.69132
24136,353458N1193126W001,835137.8912,3917635.42,-119.312588,35.345795,1116.634,139.3652
24148,353014N1193281W001,833911.336,3912655.554,-119.328087,35.301395,795.7449,53.14313
24152,352981N1193328W001,833497.3024,3912273.481,-119.332787,35.298095,731.1981,60.80951
24156,353114N1193326W001,833460.823,3913750.158,-119.332588,35.311395,865.3124,55.83179
24160,353114N1193234W001,834297.7193,3913781.204,-119.323387,35.311395,907.0243,42.93544
24164,353075N1193323W001,833504.149,3913318.356,-119.332288,35.307495,830.1464,60.21294
24168,353214N1193252W001,834092.7738,3914884.905,-119.325187,35.321395,969.1885,39.78427
24172,353327N1193082W001,835592.2376,3916196.519,-119.308188,35.332695,1002.501,56.28241
24176,353325N1192899W001,837257.3448,3916236.581,-119.289888,35.332495,910.5517,14.16332
24180,353106N1193101W001,835510.8948,3913737.44,-119.310087,35.310595,985.4927,27.12196
24184,353075N1193184W001,834768.6523,3913365.293,-119.318388,35.307495,926.9037,36.83968
24188,353208N1193009W001,836305.4992,3914900.663,-119.300888,35.320795,958.0735,17.36938
24192,353142N1192965W001,836733.1209,3914183.168,-119.296487,35.314195,976.2836,14.67311
24196,353217N1192834W001,837893.5063,3915060.185,-119.283388,35.321695,902.3445,5.981206
24200,353480N1192730W001,838729.4955,3918014.55,-119.272987,35.347995,903.2481,69.37755
24204,353466N1192821W001,837907.8965,3917828.032,-119.282088,35.346595,934.1516,77.40082
24208,353397N1192724W001,838818.769,3917095.467,-119.272387,35.339695,871.9913,39.75851
24212,353394N1192816W001,837983.4016,3917030.684,-119.281588,35.339395,900.0803,38.73899
24216,352978N1193015W001,836346.2927,3912346.104,-119.301487,35.297795,1088.467,26.79383
24220,353069N1192965W001,836763.4318,3913373.019,-119.296487,35.306895,1024.395,20.71619
24224,353072N1192834W001,837953.9327,3913450.976,-119.283388,35.307195,963.4052,22.17322
24228,353128N1192787W001,838358.1431,3914088.527,-119.278688,35.312795,918.3236,16.45417
24232,353322N1192612W001,839868.7249,3916301.549,-119.261188,35.332195,827.2585,29.90388
24236,353253N1192651W001,839542.9434,3915522.384,-119.265088,35.325295,840.9366,23.00015
24240,353397N1192638W001,839600.8285,3917124.973,-119.263788,35.339695,846.8745,41.07547
24244,351956N1194020W001,827614.2179,3900667.658,-119.401988,35.195595,1766.26,101.8429
24248,352022N1193763W001,829928.624,3901485.244,-119.376288,35.202195,2246.605,56.63923
24252,352169N1193803W001,829504.7705,3903103.278,-119.380287,35.216895,2410.062,65.60795
24256,353128N1192612W001,839950.0724,3914148.519,-119.261188,35.312795,825.1622,27.86856
24260,353375N1192481W001,841037.8095,3916934.856,-119.248087,35.337495,792.7559,34.62777
24264,352936N1192703W001,839202.5416,3911986.466,-119.270287,35.293595,972.9063,41.08928
24268,353214N1192342W001,842369.8947,3915196.078,-119.234188,35.321395,716.275,25.81596
24272,353286N1192342W001,842339.4831,3915995.149,-119.234188,35.328595,732.7974,25.4153
24276,353508N1192078W001,844646.1332,3918550.693,-119.207787,35.350795,739.8798,15.51723
24280,353508N1192223W001,843327.6993,3918500.227,-119.222287,35.350795,763.0662,24.43593
24284,353508N1191898W001,846282.82,3918613.61,-119.189787,35.350795,721.5035,8.891099
24288,352958N1192552W001,840567.2459,3912282.476,-119.255188,35.295795,848.1845,38.16565
24292,353317N1192298W001,842726.5561,3916354.435,-119.229788,35.331695,733.034,23.85374
24296,353319N1192209W001,843535.1422,3916407.515,-119.220888,35.331895,722.4852,19.72581
24300,353433N1191901W001,846287.6107,3917780.178,-119.190088,35.343295,714.3948,8.3949
24304,353508N1191723W001,847874.0542,3918675.067,-119.172287,35.350795,711.8333,5.887392
24316,352742N1192567W001,840521.3632,3909880.132,-119.256687,35.274195,1258.833,45.48898
24320,352786N1192490W001,841203.6619,3910394.954,-119.248987,35.278595,1141.643,42.07421
24324,352786N1192476W001,841331.0712,3910399.779,-119.247587,35.278595,1137.635,41.64624
24328,352817N1192606W001,840135.0003,3910699.082,-119.260587,35.281695,1091.734,41.86451
24332,352908N1192437W001,841634.6483,3911767.202,-119.243687,35.290795,815.0959,38.2508
24336,353361N1192073W001,844754.1611,3916920.98,-119.207288,35.336095,718.0211,13.76153
24344,352236N1192724W001,839303.6413,3904210.687,-119.272387,35.223595,1486.146,64.98942
24348,352308N1192535W001,840994.6439,3905074.587,-119.253488,35.230795,1593.336,74.64928
24352,352536N1192876W001,837794.7733,3907488.145,-119.287588,35.253595,1052.744,45.28822
24356,352466N1192607W001,840272.8877,3906803.329,-119.260688,35.246595,1360.036,46.39404
24360,353075N1192271W001,843074.5114,3913678.024,-119.227087,35.307495,707.0403,29.79691
24364,353383N1191628W001,848791.7011,3917321.231,-119.162787,35.338295,705.3644,5.018009
24368,353286N1191545W001,849588.3753,3916273.986,-119.154488,35.328595,704.2119,4.912177
24380,352019N1192356W001,842746.3227,3901928.96,-119.235587,35.201895,1714.091,7.365973
24404,351919N1192363W001,842724.6384,3900816.735,-119.236288,35.191895,1634.183,41.92212
25208,356455N1197003W001,798773.9524,3949646.829,-119.700287,35.645495,1224.809,73.93121
25212,357181N1196074W001,806910.1754,3957990.069,-119.607387,35.718095,1469.802,36.78276
25256,357033N1196184W001,805971.3433,3956313.298,-119.618387,35.703295,1484.599,34.83921
25300,356175N1196597W001,802557.0837,3946664.026,-119.659687,35.617495,1497.215,33.89917
25376,355866N1196545W001,803144.9495,3943251.123,-119.654487,35.586595,1361.099,64.51931
25380,356591N1196167W001,806294.353,3951413.689,-119.616687,35.659095,1695.853,42.2121
25412,355619N1196342W001,805078.8469,3940572.976,-119.634187,35.561895,1515.36,165.5105
25460,355744N1196318W001,805248.9791,3941967.535,-119.631788,35.574395,1579.11,124.7942
25464,356086N1195814W001,809686.3501,3945920.374,-119.581388,35.608595,1818.602,83.24599
25496,355803N1195896W001,809052.1726,3942754.081,-119.589587,35.580295,1826.345,113.4833
25500,355939N1195718W001,810613.2224,3944319.392,-119.571787,35.593895,1808.645,94.59618
25504,356014N1195663W001,811082.6745,3945169.077,-119.566288,35.601395,1801.161,87.55762
25508,356091N1195542W001,812149.366,3946061.938,-119.554187,35.609095,1781.856,80.52496
25524,355283N1196000W001,808308.7104,3936950.996,-119.599987,35.528295,1380.574,124.1425
25528,355694N1195814W001,809837.5812,3941570.304,-119.581388,35.569395,1751.677,114.5434
25532,355861N1195675W001,811033.1906,3943467.411,-119.567487,35.586095,1777.714,97.10206
25536,355864N1195833W001,809599.7824,3943450.826,-119.583287,35.586395,1826.736,105.1106
25544,354416N1195328W001,814743.1162,3927542.287,-119.532787,35.441595,2955.122,202.2014
25600,354131N1194298W001,824211.4679,3924713.029,-119.429788,35.413095,1796.52,82.3578
25708,353689N1194430W001,823188.8529,3919764.691,-119.442988,35.368895,2365.872,95.35838
25712,353711N1194041W001,826715.9437,3920136.766,-119.404088,35.371095,2020.767,80.29871
25716,353989N1193863W001,828221.0909,3923280.916,-119.386287,35.398895,1564.335,42.87999
25760,353656N1194342W001,824001.9692,3919427.294,-119.434187,35.365595,2337.523,97.66742
25764,353577N1194177W001,825533.6278,3918604.816,-119.417687,35.357695,2260.89,101.4792
25768,353547N1194085W001,826382.1101,3918302.231,-119.408488,35.354695,2155.509,90.34145
25772,353986N1193624W001,830394.0341,3923327.336,-119.362387,35.398595,1527.084,25.14346
25776,354117N1193587W001,830676.6428,3924793.532,-119.358688,35.411695,1481.408,25.67767
25796,353694N1193366W001,832858.5717,3920173.407,-119.336587,35.369395,1277.01,31.1809
25800,353919N1193449W001,832011.7336,3922642.483,-119.344887,35.391895,1436.945,28.53431
25804,353839N1193503W001,831553.8008,3921736.518,-119.350287,35.383895,1470.911,25.46958
25808,353847N1193452W001,832014.0286,3921842.432,-119.345187,35.384695,1424.686,28.97632
25812,353767N1193415W001,832383.168,3920967.051,-119.341487,35.376695,1336.7,32.53368
25816,354061N1193446W001,831980.6769,3924219.384,-119.344588,35.406095,1411.854,27.43973
25820,353919N1193510W001,831457.3924,3922621.991,-119.350988,35.391895,1490.803,24.66505
25824,354261N1193234W001,833824.2567,3926510.475,-119.323387,35.426095,1226.206,28.27605
25828,354383N1193315W001,833038.1445,3927837.045,-119.331487,35.438295,1255.707,22.79114
25832,353256N1193498W001,831838.0782,3915268.203,-119.349788,35.325595,1081.468,36.52305
25836,353844N1193237W001,833969.277,3921881.627,-119.323688,35.384395,1260.597,64.46491
25840,353767N1193142W001,834864.5583,3921059.252,-119.314188,35.376695,1199.651,97.43244
25844,354206N1193092W001,835136.9791,3925948.223,-119.309187,35.420595,1152.44,39.31363
25848,354214N1192962W001,836314.6295,3926081.238,-119.296188,35.421395,1095.795,46.17978
25852,354308N1192856W001,837238.3206,3927160.641,-119.285588,35.430795,1064.459,44.82927
25892,353189N1193441W001,832383.9638,3914543.792,-119.344088,35.318895,950.0284,50.31995
25896,353764N1192962W001,836501.9013,3921087.126,-119.296188,35.376395,1104.928,125.029
25900,353653N1193056W001,835693.5356,3919823.272,-119.305588,35.365295,1145.045,142.9808
25904,354167N1192787W001,837924.0676,3925619.415,-119.278688,35.416695,1047.981,58.89645
25908,354197N1192510W001,840427.9805,3926047.572,-119.250987,35.419695,822.1823,49.18648
25968,353130N1193688W001,830161.3325,3913806.322,-119.368787,35.312995,918.3638,63.65345
25972,353586N1192799W001,838057.8376,3919167.32,-119.279888,35.358595,976.1265,112.9739
25976,353758N1192562W001,840140.2441,3921157.537,-119.256187,35.375795,918.9035,75.01549
25980,354094N1192463W001,840898.4253,3924920.678,-119.246287,35.409395,950.9911,58.72231
25984,354122N1192567W001,839941.7097,3925195.556,-119.256687,35.412195,984.702,61.9599
26040,352091N1194029W001,827477.941,3902162.832,-119.402888,35.209095,2421.334,77.93783
26044,353511N1192543W001,840416.8166,3918422.835,-119.254288,35.351095,849.1299,55.64292
26048,353800N1192188W001,843521.9747,3921753.099,-119.218788,35.379995,818.7614,32.91537
26052,353783N1192266W001,842820.2118,3921537.326,-119.226587,35.378295,832.4196,38.20926
26056,353872N1192387W001,841682.7834,3922483.14,-119.238687,35.387195,884.2563,51.71538
26116,353475N1192440W001,841368.5189,3918058.824,-119.243988,35.347495,807.433,41.06544
26120,353697N1191955W001,845683.8096,3920691.253,-119.195487,35.369695,752.8937,15.1816
26160,353205N1192374W001,842082.6241,3915085.122,-119.237387,35.320495,721.2899,26.91703
26164,353489N1192357W001,842117.318,3918242.895,-119.235687,35.348895,788.5724,34.60013
