Field1,site_code,X,Y,lon,lat,MidTulareClay_Depth2top,MidTulareClay_Thickness
21920,356911N1197178W001,797019.6387,3954653.813,-119.717787,35.691095,647.0793,116.3361
22028,356508N1196970W001,799053.0773,3950245.005,-119.696987,35.650795,766.309,134.4428
22032,356677N1196725W001,801208.5318,3952195.296,-119.672487,35.667695,900.8839,133.4338
22036,356764N1196914W001,799464.5311,3953102.863,-119.691387,35.676395,768.2975,127.1045
22084,356383N1196802W001,800621.5782,3948909.216,-119.680187,35.638295,807.7252,141.3267
22124,355944N1196952W001,799426.5998,3943991.929,-119.695187,35.594395,608.6595,166.5838
22152,356239N1196206W001,806075.5597,3947495.367,-119.620587,35.623895,652.2937,136.0637
22164,356231N1195938W001,808506.8523,3947490.44,-119.593788,35.623095,608.4891,120.8763
22176,356194N1195671W001,810940.3982,3947164.04,-119.567087,35.619395,688.0597,105.0759
23216,357214N1197927W001,790129.395,3957791.792,-119.792687,35.721395,690.4851,91.68618
23220,357039N1197796W001,791378.5827,3955888.757,-119.779587,35.703895,675.739,96.32306
23224,357175N1197611W001,793003.1594,3957453.038,-119.761087,35.717495,1020.958,97.75359
23516,355681N1196093W001,807312.9403,3941338.502,-119.609287,35.568095,653.5977,119.3343
23520,355586N1196113W001,807167.9099,3940278.042,-119.611288,35.558595,857.8488,125.3511
23552,355377N1196197W001,806485.8531,3937932.588,-119.619687,35.537695,1119.742,164.8892
23556,355589N1196004W001,808155.1612,3940345.423,-119.600387,35.558895,881.9385,103.4709
23560,355694N1195782W001,810127.7176,3941580.39,-119.578187,35.569395,936.0112,73.15031
23584,354775N1196360W001,805235.4802,3931201.669,-119.635987,35.477495,1010.914,282.01
24244,351956N1194020W001,827614.2179,3900667.658,-119.401988,35.195595,783.4839,110.4951
24252,352169N1193803W001,829504.7705,3903103.278,-119.380287,35.216895,533.2281,49.12354
25208,356455N1197003W001,798773.9524,3949646.829,-119.700287,35.645495,746.6837,136.1143
25300,356175N1196597W001,802557.0837,3946664.026,-119.659687,35.617495,775.289,147.7868
25376,355866N1196545W001,803144.9495,3943251.123,-119.654487,35.586595,830.8933,158.526
25412,355619N1196342W001,805078.8469,3940572.976,-119.634187,35.561895,880.6199,156.4273
25460,355744N1196318W001,805248.9791,3941967.535,-119.631788,35.574395,776.5239,147.0514
25464,356086N1195814W001,809686.3501,3945920.374,-119.581388,35.608595,575.4821,108.4801
25496,355803N1195896W001,809052.1726,3942754.081,-119.589587,35.580295,495.7957,97.39141
25500,355939N1195718W001,810613.2224,3944319.392,-119.571787,35.593895,550.5737,95.08886
25504,356014N1195663W001,811082.6745,3945169.077,-119.566288,35.601395,597.3929,97.28901
25508,356091N1195542W001,812149.366,3946061.938,-119.554187,35.609095,667.5256,97.18153
25528,355694N1195814W001,809837.5812,3941570.304,-119.581388,35.569395,869.45,76.35243
25532,355861N1195675W001,811033.1906,3943467.411,-119.567487,35.586095,602.1556,87.12563
25536,355864N1195833W001,809599.7824,3943450.826,-119.583287,35.586395,498.9271,96.56618
26040,352091N1194029W001,827477.941,3902162.832,-119.402888,35.209095,580.8855,107.3934
28632,357171N1197624W001,792886.9826,3957404.766,-119.762387,35.717095,1014.582,97.44807
28648,356901N1197622W001,793003.9956,3954409.281,-119.762187,35.690095,621.6859,104.6854
28652,357028N1197441W001,794595.7309,3955872.785,-119.744087,35.702795,861.8647,106.0929
28656,357028N1197441W002,794595.7309,3955872.785,-119.744087,35.702795,861.8647,106.0929
28676,356879N1197266W001,796234.8635,3954272.101,-119.726587,35.687895,625.5659,115.0435
28692,356441N1197131W002,797619.7588,3949452.595,-119.713087,35.644095,647.1902,134.6538
28720,356139N1196524W001,803232.1507,3946287.046,-119.652387,35.613895,760.6962,147.2397
28732,355870N1196541W001,803179.6977,3943296.744,-119.654087,35.586995,829.0928,158.1075
28748,355659N1196328W001,805190.6016,3941021.195,-119.632788,35.565895,844.0994,152.2492
28752,355867N1196435W001,804141.677,3943296.196,-119.643487,35.586695,788.4935,151.9518
28756,355903N1196399W001,804454.3532,3943706.828,-119.639887,35.590295,757.9105,148.3255
28760,355903N1196399W003,804454.3532,3943706.828,-119.639887,35.590295,757.9105,148.3255
28764,355903N1196399W004,804454.3532,3943706.828,-119.639887,35.590295,757.9105,148.3255
28768,355889N1196407W001,804387.1467,3943548.994,-119.640687,35.588895,766.7817,149.3016
28772,356056N1196391W001,804468.8275,3945407.134,-119.639087,35.605595,718.2724,144.2571
28776,356056N1196416W002,804242.2655,3945399.39,-119.641587,35.605595,730.524,145.3955
28780,356158N1196237W001,805825.5701,3946586.854,-119.623687,35.615795,646.942,136.4515
28788,355436N1196316W001,805384.0987,3938550.312,-119.631587,35.543595,1017.609,171.4816
28792,355580N1196240W001,806018.5749,3940171.879,-119.623987,35.557995,901.9478,146.2751
